,tweet_id,favorites,retweet_count
1163,735137028879360001,3354,1065
1164,735256018284875776,3600,971
1165,735274964362878976,13966,5601
1166,735635087207878657,6656,2598
1167,735648611367784448,4311,1204
1168,735991953473572864,3868,1265
1169,736010884653420544,8492,3268
1170,736225175608430592,8729,3046
1171,736365877722001409,4296,1373
1172,736736130620620800,4637,1924
1173,737310737551491075,15760,8158
1174,737322739594330112,3877,885
1175,737445876994609152,11090,4924
1176,737678689543020544,5417,1472
1177,737800304142471168,10731,3816
1178,737826014890496000,5654,1955
1179,738156290900254721,2714,731
1180,738166403467907072,9448,3751
1181,738184450748633089,4641,1333
1182,738402415918125056,3524,936
1183,738537504001953792,5475,1720
1184,738883359779196928,3595,895
1185,738885046782832640,4048,1254
1186,739238157791694849,73643,51129
1187,739485634323156992,7752,3241
1188,739544079319588864,42793,23684
1189,739606147276148736,5798,1828
1190,739844404073074688,4070,936
1191,739932936087216128,4360,1188
1192,739979191639244800,21451,6539
1193,740214038584557568,7191,2169
1194,740359016048689152,3550,943
1195,740365076218183684,2666,482
1196,740373189193256964,37275,14681
1197,740676976021798912,19504,7514
1198,740699697422163968,3050,861
1199,740711788199743490,3670,1031
1200,740995100998766593,6892,3061
1201,741067306818797568,10150,3420
1202,741303864243200000,9444,3565
1203,741438259667034112,3948,920
1204,741743634094141440,8783,3053
1205,741793263812808706,4894,1663
1206,742150209887731712,5548,1729
1207,742161199639494656,4671,1512
1208,742385895052087300,7317,2200
1209,742423170473463808,10609,4207
1210,742465774154047488,7800,4281
1211,742528092657332225,4787,2193
1212,743210557239623680,4130,1507
1213,743222593470234624,6666,2105
1214,743253157753532416,4545,1333
1215,743510151680958465,8503,4074
1216,743545585370791937,3794,1040
1217,743595368194129920,19897,7257
1218,743609206067040256,4827,1519
1219,743895849529389061,3925,1056
1220,743980027717509120,4471,1204
1221,744234799360020481,128715,77699
1222,744334592493166593,7276,2370
1223,744709971296780288,6031,1720
1224,744971049620602880,8480,2966
1225,744995568523612160,3218,695
1226,745057283344719872,7794,2529
1227,745314880350101504,7706,3059
1228,745422732645535745,9238,2700
1229,745433870967832576,7665,2811
1230,745712589599014916,7518,2574
1231,745789745784041472,4356,1177
1232,746056683365994496,3826,909
1233,746131877086527488,7425,2442
1234,746369468511756288,6511,1817
1235,746507379341139972,5006,1196
1236,746726898085036033,6512,1983
1237,746790600704425984,5253,1767
1238,746818907684614144,5707,1899
1239,746872823977771008,6459,2373
1240,746906459439529985,3114,328
1241,747103485104099331,10357,4436
1242,747204161125646336,3657,1015
1243,747219827526344708,5695,1743
1244,747461612269887489,4179,1148
1245,747512671126323200,6007,1754
1246,747594051852075008,3976,1174
1247,747600769478692864,2507,604
1248,747816857231626240,5243,1287
1249,747844099428986880,3029,825
1250,747885874273214464,3185,1094
1251,747933425676525569,7172,2830
1252,747963614829678593,6264,2394
1253,748307329658011649,3966,795
1254,748324050481647620,4006,848
1255,748346686624440324,5638,1376
1256,748568946752774144,2366,749
1257,748575535303884801,6559,2210
1258,748692773788876800,4584,1472
1259,748699167502000129,5120,1771
1260,748705597323898880,2989,1046
1261,748932637671223296,6336,2503
1262,748977405889503236,11617,3792
1263,749036806121881602,3354,872
1264,749064354620928000,5185,1679
1265,749317047558017024,5940,2457
1266,749395845976588288,9312,3853
1267,749403093750648834,2837,609
1268,749417653287129088,6605,1858
1269,749774190421639168,5028,1458
1270,749981277374128128,5531,2717
1271,749996283729883136,3275,892
1272,750011400160841729,3508,1011
1273,750026558547456000,2935,873
